------------------------- 2017-11-27 08:23:27.302946 -------------------------
SUCCESS:政治人物, all_fenlei size:65, rest in work_list:64
SUCCESS:历史人物, all_fenlei size:72, rest in work_list:70
SUCCESS:文化人物, all_fenlei size:153, rest in work_list:150
SUCCESS:虚拟人物, all_fenlei size:255, rest in work_list:251
SUCCESS:经济人物, all_fenlei size:280, rest in work_list:275
SUCCESS:动物, all_fenlei size:305, rest in work_list:299
SUCCESS:植物, all_fenlei size:319, rest in work_list:312
SUCCESS:自然灾害, all_fenlei size:363, rest in work_list:355
SUCCESS:自然资源, all_fenlei size:377, rest in work_list:368
SUCCESS:自然现象, all_fenlei size:401, rest in work_list:391
SUCCESS:美术, all_fenlei size:461, rest in work_list:450
SUCCESS:戏剧, all_fenlei size:472, rest in work_list:460
SUCCESS:舞蹈, all_fenlei size:525, rest in work_list:512
SUCCESS:摄影, all_fenlei size:565, rest in work_list:551
SUCCESS:曲艺, all_fenlei size:585, rest in work_list:570
SUCCESS:书画, all_fenlei size:585, rest in work_list:569
SUCCESS:建筑, all_fenlei size:810, rest in work_list:793
SUCCESS:语言, all_fenlei size:881, rest in work_list:863
SUCCESS:体育组织, all_fenlei size:903, rest in work_list:884
SUCCESS:体育奖项, all_fenlei size:906, rest in work_list:886
SUCCESS:体育设施, all_fenlei size:917, rest in work_list:896
SUCCESS:体育项目, all_fenlei size:931, rest in work_list:909
SUCCESS:组织机构, all_fenlei size:939, rest in work_list:916
SUCCESS:政治, all_fenlei size:1092, rest in work_list:1068
SUCCESS:军事, all_fenlei size:1125, rest in work_list:1100
SUCCESS:法律, all_fenlei size:1197, rest in work_list:1171
SUCCESS:民族, all_fenlei size:1252, rest in work_list:1225
SUCCESS:交通, all_fenlei size:1330, rest in work_list:1302
SUCCESS:经济, all_fenlei size:1497, rest in work_list:1468
SUCCESS:党务知识, all_fenlei size:1497, rest in work_list:1467
SUCCESS:各国历史, all_fenlei size:1564, rest in work_list:1533
SUCCESS:历史事件, all_fenlei size:1602, rest in work_list:1570
SUCCESS:历史著作, all_fenlei size:1611, rest in work_list:1578
SUCCESS:文物考古, all_fenlei size:1621, rest in work_list:1587
SUCCESS:行政区划, all_fenlei size:1698, rest in work_list:1663
SUCCESS:地形地貌, all_fenlei size:1737, rest in work_list:1701
SUCCESS:科研机构, all_fenlei size:1804, rest in work_list:1767
SUCCESS:互联网, all_fenlei size:1870, rest in work_list:1832
SUCCESS:航空航天, all_fenlei size:1916, rest in work_list:1877
SUCCESS:医学, all_fenlei size:2048, rest in work_list:2008
SUCCESS:电子产品, all_fenlei size:2096, rest in work_list:2055
SUCCESS:动漫, all_fenlei size:2117, rest in work_list:2075
SUCCESS:电影, all_fenlei size:2269, rest in work_list:2226
SUCCESS:电视剧, all_fenlei size:2296, rest in work_list:2252
SUCCESS:小说, all_fenlei size:2313, rest in work_list:2268
SUCCESS:电视节目, all_fenlei size:2328, rest in work_list:2282
SUCCESS:演出, all_fenlei size:2349, rest in work_list:2302
SUCCESS:美容, all_fenlei size:2406, rest in work_list:2358
SUCCESS:时尚, all_fenlei size:2434, rest in work_list:2385
SUCCESS:旅游, all_fenlei size:2533, rest in work_list:2483
SUCCESS:国家元首, all_fenlei size:2550, rest in work_list:2499
SUCCESS:领袖, all_fenlei size:2553, rest in work_list:2501
SUCCESS:皇帝, all_fenlei size:2571, rest in work_list:2518
SUCCESS:军事人物, all_fenlei size:2576, rest in work_list:2522
SUCCESS:政治家, all_fenlei size:2614, rest in work_list:2559
SUCCESS:全球美女政客, all_fenlei size:2614, rest in work_list:2558
SUCCESS:第一夫人, all_fenlei size:2614, rest in work_list:2557
SUCCESS:政治理论, all_fenlei size:2620, rest in work_list:2562
SUCCESS:政府, all_fenlei size:2640, rest in work_list:2581
SUCCESS:国家, all_fenlei size:2650, rest in work_list:2590
SUCCESS:政治事件, all_fenlei size:2656, rest in work_list:2595
SUCCESS:政治思想, all_fenlei size:2661, rest in work_list:2599
SUCCESS:国际政治, all_fenlei size:2664, rest in work_list:2601
SUCCESS:政府组织, all_fenlei size:2668, rest in work_list:2604
SUCCESS:制度, all_fenlei size:2705, rest in work_list:2640
SUCCESS:皇室, all_fenlei size:2711, rest in work_list:2645
SUCCESS:贵族, all_fenlei size:2717, rest in work_list:2650
SUCCESS:各时代历史人物, all_fenlei size:2725, rest in work_list:2657
SUCCESS:各国历史人物, all_fenlei size:2746, rest in work_list:2677
SUCCESS:巾帼英雄, all_fenlei size:2746, rest in work_list:2676
